Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Paul Walker,41.0,10474.94,0,6.4,12.0,2012-01-02 05:08:52,"73006 Patty Avenue Apt. 646
New Sarahburgh, NV 24826",Dalton LLC,1
Lindsey Day,55.0,11158.5,1,4.86,10.0,2007-01-07 01:21:47,"85934 Dakota Mall
Timothyville, MI 72421","Thompson, Hansen and Sanchez",1
Steven Hernandez,54.0,8207.1,0,4.26,11.0,2015-04-05 15:57:24,"14609 Perez Turnpike
Bradleyberg, DE 99755","Yates, Martinez and Cox",1
Danielle Kirk,35.0,12403.81,0,4.42,11.0,2007-07-31 06:39:54,"20117 Johnson Ports Apt. 914
Jenniferfort, DC 40595",Reeves-Curtis,1
Troy Oliver,40.0,10041.13,0,7.61,11.0,2006-07-30 15:27:23,"USCGC Blake
FPO AA 66377-6894",Gates Ltd,1
Darlene Evans,44.0,12721.55,0,5.18,11.0,2011-04-25 02:53:25,"950 Christina Viaduct
Anastad, IL 03324-2274",Dunlap and Sons,1
Mrs. Sarah Morales,37.0,8284.89,1,5.6,10.0,2009-03-25 06:10:01,"8807 Young Village
Joneston, AR 56462","Taylor, Allen and Gardner",1
Laura Pierce,54.0,10661.48,1,5.16,8.0,2011-12-26 22:06:03,"PSC 3912, Box 7208
APO AA 23623",Charles-Branch,1
Carla Ball,45.0,10793.11,1,4.65,10.0,2016-12-28 04:07:38,"754 Shannon Mall
South Shawn, AS 29886-0448",Barton Inc,1
Robert Hill,46.0,9322.44,1,2.69,11.0,2010-11-16 13:22:18,"2088 Kelli Way
Millertown, MT 37058","Stevens, Harris and Greene",1
Joseph Harrell,44.0,9814.22,1,5.45,12.0,2010-01-23 07:15:58,"USCGC Bell
FPO AE 94532","Fitzgerald, Sherman and Lowe",1
Tammy Shepherd,48.0,11740.0,1,4.97,11.0,2011-03-06 01:34:58,"234 Gonzalez Terrace
Santiagohaven, CO 28918-5500",Martin Ltd,1
Kelly Carroll,37.0,14383.36,0,7.84,10.0,2011-04-05 00:21:51,"8268 Baker Rapid Suite 712
Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1
Heidi Munoz,38.0,11887.39,0,5.83,12.0,2009-10-15 17:14:01,"USCGC Mason
FPO AA 96632-5067",Mckinney-Rogers,1
Thomas Sawyer,48.0,10367.08,1,6.45,12.0,2008-10-06 17:15:00,"8113 Rodriguez Court
Sheribury, SC 88474","Lopez, Kelly and Armstrong",1
Erin Rivera,37.0,8198.06,1,5.04,12.0,2016-11-06 01:13:12,"34727 Randy Prairie Apt. 275
South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1
Raymond Berry,41.0,7777.37,0,4.81,12.0,2014-01-20 08:53:20,"75210 Mark Mill Apt. 397
Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1
Patrick Bell,41.0,11699.26,0,6.99,12.0,2010-03-31 14:45:01,"93345 Monique Tunnel Apt. 431
North Chase, NJ 30518",Clark-Kramer,1
Jason Jones MD,55.0,16838.94,1,6.66,8.0,2007-10-05 15:48:38,"52454 Jessica Passage Apt. 097
Mitchellburgh, AS 30584-9004",Brown-Richardson,1
Jermaine Johnson,36.0,10484.33,1,8.84,10.0,2008-04-29 09:07:51,"4102 Griffin Courts
Middletonton, FM 48608","Dunlap, Hughes and Taylor",1
George Archer,37.0,8736.06,1,5.51,12.0,2014-12-23 19:38:52,"5645 Henderson Streets
Brandystad, CA 92343",Smith Inc,1
Richard Fields,50.0,10850.78,1,5.63,9.0,2010-06-18 07:10:58,"451 Flynn Streets
Morenobury, NE 64722-7132",Brown-Bishop,1
Amanda Roberts,43.0,8601.01,0,5.65,12.0,2007-02-03 17:52:51,"PSC 9561, Box 4071
APO AA 92200-5783",Evans LLC,1
David Kennedy,45.0,11170.06,1,7.76,10.0,2011-01-26 19:05:24,"56990 Laurie Gardens Suite 145
West Tara, OH 24389",Williams-Hoffman,1
Adam Waters,40.0,11185.62,0,6.26,12.0,2006-03-06 18:36:47,"6040 Juan Forge
Parrishville, NJ 27948",Reed Ltd,1
Patricia Elliott,36.0,9793.42,0,5.98,9.0,2007-11-27 12:24:48,"9072 Martinez Squares Suite 404
New Emilystad, NH 26441-4895",Ortiz Ltd,1
Summer Haley,43.0,12524.68,0,5.98,10.0,2010-05-27 04:46:05,"312 Wilson Oval Suite 872
East Michaeltown, MN 40127-6212","White, Vargas and Moore",1
Brittany Jackson,50.0,12682.9,0,4.58,10.0,2006-09-11 07:07:17,"082 Roth Island
Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1
Shawn Chavez,44.0,14036.28,1,7.25,10.0,2009-01-30 01:58:56,"42028 Hampton Flat Apt. 206
North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1
Laura Fleming,41.0,10179.92,1,5.97,10.0,2010-02-25 00:17:52,"7023 Courtney Lodge Suite 935
Coxtown, NE 89508","Knight, Hammond and Mccoy",1
Marcus Garza,46.0,12772.72,1,6.46,9.0,2010-07-03 18:56:05,"06806 Lyons Drive Apt. 864
Port Michaelview, MH 56506","Holland, Jones and Schmidt",1
Heather Murphy,46.0,12122.19,0,7.53,11.0,2015-12-30 18:49:35,"1264 Williams Views Suite 114
Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1
Jeffrey Hill,40.0,9922.3,1,5.07,11.0,2006-09-22 20:58:51,"97907 Jensen Forge
Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1
Amy Griffin,48.0,4771.65,0,3.77,12.0,2007-06-19 04:30:13,"062 Trevor Falls Suite 665
North Mathewchester, MH 93744",Larson-Hall,1
Michelle Hill,42.0,10827.96,1,4.2,10.0,2008-11-10 19:35:05,"45946 Day Springs
Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1
David Rodriguez,38.0,8642.01,1,4.76,11.0,2014-08-13 17:14:07,"7318 Graham Ville Apt. 633
Gibsonview, MI 04337-6720",Walker-Baker,1
Daniel Bartlett,45.0,6749.49,0,5.88,14.0,2006-08-19 17:13:19,"353 Gregory Spur
Mariaburgh, KY 66125",Owens Group,1
Cheyenne Rogers,36.0,6447.99,1,5.52,11.0,2009-05-07 22:19:35,"58379 Amber Knoll
Blackburgh, MH 69646-4368",Evans LLC,1
Seth Lopez,44.0,11091.21,0,5.9,10.0,2007-07-10 15:33:56,"Unit 2311 Box 4695
DPO AA 98374",Hodges LLC,1
Brittany Hopkins,55.0,5024.52,0,8.11,9.0,2010-02-10 10:22:37,"2529 King Knoll Apt. 210
Michelleshire, NH 14266",Dixon-Love,1
Carla Patterson,58.0,12376.37,0,6.01,12.0,2007-12-08 08:05:11,"350 Gregory Isle
South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1
Michelle Holloway,49.0,12458.8,0,5.04,9.0,2013-01-21 13:44:09,"6431 Kimberly Harbors
South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1
Kenneth Bryant,47.0,7222.35,0,6.41,11.0,2015-06-27 10:57:19,"274 Randy Ports Apt. 228
Gomezside, KY 96667-1028",Davis and Sons,1
Cody Williams,38.0,11758.69,0,6.97,11.0,2016-08-14 18:04:40,"USNS Lewis
FPO AE 38853","Farley, Clark and Peterson",1
Lori Ross,55.0,8772.0,1,6.43,10.0,2006-03-01 20:57:16,"65806 Dean Plaza Apt. 089
West Jacobfort, AR 83049","Butler, Harrison and Hall",1
David Montes,45.0,7351.38,0,5.76,11.0,2016-10-06 23:11:34,"666 Julie Ports Apt. 094
South Johntown, MO 10168-2804",Watson-Hall,1
Robin Rowe,30.0,7960.64,1,2.72,10.0,2016-04-15 12:08:15,"87953 Fuller Turnpike Apt. 510
Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1
Amber Spears,41.0,13365.66,1,8.36,9.0,2008-07-26 03:00:31,"455 Garcia Via Suite 177
Lake Jefferyside, MN 81187",Gray Inc,1
Kathy Johnson,32.0,8617.98,1,6.2,10.0,2008-05-14 16:07:30,"570 Smith Mountains
Hunterview, OK 46533",Jordan-Murphy,1
Thomas Rose,52.0,11849.13,0,6.8,11.0,2012-08-18 09:16:47,"9928 Lawson Court
Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1
Sandra Williams,37.0,11145.95,1,5.87,11.0,2013-01-10 10:11:44,"0728 Melton Avenue
Robertville, KY 71675-3667",Baker Ltd,1
Nathan Murphy,42.0,9577.42,0,5.86,11.0,2012-01-18 00:52:28,"34489 Andrew Wells
North Charlesport, RI 48537",Deleon Ltd,1
Ryan Weaver,39.0,10110.4,1,5.78,13.0,2009-03-10 21:58:42,"8306 Nicole Lane
Moranmouth, PR 36299","Keith, Richardson and Thomas",1
Jennifer King,43.0,8024.08,0,4.08,12.0,2016-02-20 07:00:09,"44850 Dennis Meadows Suite 044
Dariusland, IL 05918","Hunter, Reyes and Rivera",1
Theresa Berry,52.0,8563.24,0,5.29,11.0,2010-03-24 16:20:07,"1733 Theresa Port
North Jason, WY 15864",Jones LLC,1
Robin Burke,40.0,9403.58,1,6.01,9.0,2014-07-31 01:07:38,"7225 James Corners
Christopherville, OH 19625-4299",Patel PLC,1
Todd Thompson,38.0,12520.53,1,6.3,11.0,2008-10-19 09:18:12,"2779 Dalton Ports
New James, AS 59322-0419","Guzman, Johnson and Berry",1
John Thomas,53.0,13655.59,1,2.05,10.0,2013-12-24 14:28:20,"342 Jensen Dam
West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1
Timothy Johnston,41.0,12680.46,0,5.92,11.0,2010-03-29 17:41:53,"44906 Walker Plaza
Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1
Sarah Holloway,45.0,8429.65,1,7.1,10.0,2006-08-26 16:40:13,"099 Lopez Crescent
Jamesport, OK 31273",Harrison-Ferrell,1
Scott Chambers,44.0,11424.0,1,5.98,10.0,2011-11-16 06:51:37,"9525 Allen Camp Apt. 362
West Dawnmouth, GA 04347","Davis, Cole and Thompson",1
Kathryn Ponce,46.0,13725.55,0,5.09,9.0,2006-03-04 00:11:53,"43798 Jones Garden Apt. 027
Monicashire, ND 82344","Cochran, Molina and Higgins",1
Patrick Robinson,47.0,7396.1,0,4.11,11.0,2014-03-10 06:51:20,"753 Sara Fall
Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1
Laurie Green,51.0,8100.43,1,4.92,13.0,2006-01-14 01:47:07,"74631 Kyle Mountain Apt. 268
Andrewmouth, MI 55255","Callahan, Hinton and Murray",1
Amber Hobbs,43.0,10400.88,0,5.84,10.0,2013-03-28 20:04:50,"8044 Bates Spring
Jonesborough, LA 63728","Nelson, Ray and Johnson",1
Tina King,40.0,8625.96,1,6.27,13.0,2008-08-07 01:50:30,"80203 Brandon Hill Apt. 353
New Luisport, VA 65076",Franco-Jones,1
David Hess,41.0,5192.38,1,4.86,11.0,2015-11-06 03:12:21,"PSC 1062, Box 1827
APO AA 46087-7414",Johnson-Walker,1
Jose Lee,45.0,12455.38,0,3.26,11.0,2015-02-24 14:54:33,"036 Hunter Heights Suite 701
New Rickey, HI 95539-9622",Nelson LLC,1
Brian Young,49.0,10522.21,0,7.25,14.0,2014-11-08 00:40:36,"Unit 6711 Box 7964
DPO AA 27820",Munoz Ltd,1
Erica Flores,38.0,9624.18,0,5.53,12.0,2008-12-22 06:09:17,"421 Kevin Shoal
Grahamport, RI 11504",Carey Ltd,1
Brenda Hall,37.0,11628.1,1,6.83,10.0,2010-02-20 16:08:12,"1877 Tara Streets
West Sarah, MN 39500",Rosales Inc,1
Dakota Williams,41.0,13190.3,1,7.38,10.0,2012-09-12 14:15:03,"22194 Hernandez Roads
Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1
Tammy Reed,49.0,13173.8,1,6.36,12.0,2007-10-09 18:07:48,"3067 Lindsay Road Apt. 683
Port Jonathan, NY 84626-8850",Russo-Rivas,1
Devin Cook,29.0,8688.17,1,5.7,9.0,2015-02-05 11:35:45,"237 Antonio Lock
Lake Christianville, IN 42022",Fleming LLC,1
Joseph Mitchell,40.0,11434.61,1,8.51,10.0,2009-11-17 23:38:40,"3422 Zhang View
Estradabury, SC 66970-2923",Lee LLC,1
Brett Allen MD,45.0,12309.39,1,4.57,11.0,2008-02-07 15:42:36,"03559 Rodriguez Prairie Apt. 826
Rachelfurt, ND 85441",Brown-Rangel,1
Daniel Bates,30.0,10744.14,1,7.16,9.0,2008-09-13 11:53:42,"488 Lewis Village
Crawfordborough, WY 43563",Hunt PLC,1
Chelsea Ward,43.0,12104.25,0,5.86,7.0,2009-09-27 04:12:53,"5279 Grace Mountain
Loriland, IL 83900","Hatfield, Johnson and George",1
Ryan Richardson,45.0,11599.27,1,4.78,11.0,2006-11-22 21:46:31,"31574 Sarah Pine Apt. 359
Harryside, NJ 02405-8870",Cross-Jones,1
Stephen Callahan,42.0,6635.19,0,6.68,11.0,2006-07-24 18:29:33,"USS Booth
FPO AP 73462",Shaw-Rivera,1
Mrs. Melinda Davila,51.0,10978.16,1,6.95,11.0,2013-08-10 02:49:37,"5843 Byrd Corner
Monicaport, SC 44357",Perry and Sons,1
Carla Howell,44.0,13743.27,0,7.8,11.0,2011-06-11 00:48:58,"55353 Barker Burg
East Willietown, HI 30805","Edwards, Webster and Gross",1
Eric Kelley,43.0,10271.19,1,5.31,14.0,2011-07-19 10:28:53,"98472 Meghan Mall
Port Lauren, LA 49472","Santos, Hoffman and Harper",1
Randy Hayes,43.0,6715.23,0,4.16,8.0,2007-02-17 15:33:59,"PSC 1001, Box 5072
APO AP 43490",Taylor-Vaughn,1
Jeffrey Glenn,50.0,10199.44,0,5.79,9.0,2012-10-09 17:29:23,"6431 Caldwell Spring
Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1
Megan Tucker,38.0,11386.56,0,8.82,9.0,2011-11-20 17:11:17,"63080 Christopher Fork Suite 353
Jacobshire, TN 98279-1399",Taylor-Guerrero,1
Michael Acosta,49.0,12112.53,0,7.31,9.0,2012-03-03 18:57:24,"73511 James Skyway Apt. 750
Port Scott, FM 96780",Ward-Bennett,1
Eileen Reyes,34.0,9228.84,1,5.29,12.0,2006-11-25 12:38:21,"0235 Taylor Lakes Suite 365
East Michaelfort, AL 61409-7098",Curtis PLC,1
Mr. Jerome Dawson,36.0,6330.43,1,5.43,7.0,2010-08-24 00:52:55,"675 Jones Viaduct
Samanthastad, MT 88716-7510",Oconnell LLC,1
Katie Sutton,40.0,11611.51,1,5.64,14.0,2010-06-19 16:02:16,"564 Amanda Park Apt. 388
Watsonport, NJ 61471-7559",Patrick Inc,1
Dr. Kylie Mccann,37.0,8397.41,0,5.59,12.0,2008-06-07 21:35:55,"150 Steven Center
Port Randallshire, SC 42333-2817",Shepherd LLC,1
Jose Kelly,49.0,9714.47,0,5.7,9.0,2014-11-04 04:05:34,"205 Lewis Ports Suite 146
New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1
Nicholas Levy,51.0,11602.11,1,5.3,10.0,2012-04-06 10:12:15,"668 Walker Trace Apt. 580
Samanthaside, FL 56884",Pruitt-Thompson,1
Jennifer Carrillo,35.0,12871.79,0,4.64,12.0,2006-03-25 01:04:53,"659 Robertson Lake
Lake Peggy, CT 28993",Ingram-Swanson,1
April Freeman,41.0,9923.79,1,4.75,13.0,2011-08-28 03:41:36,"16914 Oconnell Forge Apt. 477
Atkinsonmouth, MD 32666","Larson, Ross and Ward",1
Hunter Rivera,26.0,8787.39,1,5.42,11.0,2014-12-18 19:58:36,"233 Mark Vista
New Russellbury, FL 08810","Tate, Hall and Moreno",1
Travis Ellis,46.0,12200.31,0,6.62,10.0,2010-10-20 00:12:32,"730 Doris Drive Suite 569
Port Adam, KY 42352",Ramirez-Mendoza,1
Tommy Frey,38.0,8825.87,1,8.97,10.0,2008-01-06 09:57:34,"200 Craig Spur Suite 465
Wadeton, NC 47363",Garcia-Owens,1
Nicole Friedman,44.0,8615.52,0,7.39,9.0,2006-10-19 23:02:34,"77755 John River
Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1
James Newman,35.0,9766.95,1,4.59,13.0,2008-02-29 14:17:57,"1317 Dillon Gardens
Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1
Stephanie Gonzales,36.0,11550.29,0,6.46,13.0,2014-01-13 05:18:56,"437 Alex Glens
Melindaburgh, ID 78010-8240",Young-Dunn,1
Mary Aguilar,50.0,6244.75,0,4.64,11.0,2015-12-18 13:28:17,"Unit 6345 Box 0137
DPO AP 41134-6292",Lee-Aguilar,1
Jordan Owens,45.0,9459.52,0,5.72,9.0,2015-07-30 02:34:43,"018 Kristy Mountain
Lindseymouth, LA 51400",Reyes PLC,1
Devin Wilson,46.0,11222.48,0,4.92,9.0,2011-02-18 18:11:37,"97426 Carrie Stravenue
East Cassandrafort, WV 23196",Cooke Ltd,1
Samantha Fisher,38.0,14693.45,1,7.01,10.0,2011-11-02 16:47:54,"961 Wright Plains
Kimberlyborough, AL 59809","Morris, Owens and Sullivan",1
Monique Medina,49.0,15005.43,1,5.27,12.0,2012-07-27 00:30:18,"22013 Matthew Square
Johnsonland, LA 27505-9242",Martin-Harris,1
Nathan Gross,42.0,10276.33,1,6.54,11.0,2007-07-01 05:53:17,"1136 Beasley Mountains Apt. 622
Smithton, UT 09411-9465","Robinson, Brown and Stephens",1
Douglas Joseph,44.0,8474.11,0,6.61,14.0,2012-10-01 08:10:23,"Unit 9630 Box 8710
DPO AP 69319",Clark PLC,1
Elizabeth Moore,47.0,8235.74,1,6.2,10.0,2007-10-23 05:18:02,"582 Kimberly Lodge Apt. 082
East Victoriastad, NH 73555","Young, Porter and Hill",1
Adam Gomez,48.0,6495.01,1,5.57,12.0,2013-02-06 05:15:06,"2889 Coffey Parks
Browningmouth, VT 14924-9744",Thompson Group,1
Timothy Harvey,45.0,8099.29,1,5.66,10.0,2008-06-10 14:07:44,"6596 Ronald Union
West Courtney, ND 47185","Scott, Ward and Brown",1
Adam Strong,50.0,11775.75,1,4.83,10.0,2011-02-06 15:02:27,"33071 Melody Isle
East Matthew, WV 08980-8853",Harvey-Mcdowell,1
Charles Whitney,39.0,8667.02,0,6.82,10.0,2009-10-23 10:27:41,"8006 Erin Pass Apt. 415
South Karen, LA 27331-0907",Christensen-Mccann,1
Lisa Davis,55.0,9000.31,1,6.78,10.0,2008-05-23 01:04:13,"PSC 5306, Box 1682
APO AP 03229",Obrien PLC,1
Jacob Escobar,50.0,14398.89,1,5.54,12.0,2007-11-13 17:10:55,"4182 Mercer Plains Apt. 624
New Lindsey, WA 84468",White-Dennis,1
Douglas Padilla,38.0,10863.05,1,5.59,11.0,2008-04-28 01:11:37,"063 Andrew Harbor
New Kathleenbury, AR 48898",Martinez Ltd,1
Russell Bauer,38.0,7287.57,1,7.39,11.0,2007-04-22 06:22:27,"83221 Hendricks Highway
Garciastad, OR 20046-4343",Chambers-Simmons,1
Jessica Horton,43.0,6992.09,1,6.84,11.0,2010-04-21 18:41:43,"Unit 7652 Box 7117
DPO AP 06955-1878",Jackson Group,1
Alexis Hill,39.0,6351.79,0,5.86,6.0,2012-03-24 16:13:42,"335 Dyer Shoals
Port Patricia, PR 84461-1647",Campbell and Sons,1
Heather Hickman,31.0,11297.57,1,6.23,10.0,2015-03-17 22:32:58,"7259 Brown Street Apt. 385
Monicaport, GU 05916-8374",Moore LLC,1
Steven Stevenson,52.0,7460.05,0,5.39,12.0,2013-10-17 21:48:30,"61756 Walls Ridges
East James, IA 34568",George Inc,1
Hailey Sanchez,41.0,14429.41,1,5.51,11.0,2007-09-29 00:43:03,"78018 Ariana Crest Suite 467
North Tamara, IA 84527",Evans-Wagner,1
Randall Weber,34.0,12983.26,1,6.53,13.0,2007-10-14 20:54:33,"447 Lane Street Apt. 689
East Christopher, MI 80796","Torres, Villanueva and Velasquez",1
Anna Bryant,39.0,8801.86,1,4.43,10.0,2007-03-18 11:14:44,"30668 Isabella Freeway Suite 428
Lake Kellyhaven, MP 89074-5017",Bennett Inc,1
Robert Russo,58.0,9703.93,0,5.16,11.0,2010-03-02 16:11:39,"976 Thomas Garden
Lake Chad, DC 12638-0139",Hanna-Leonard,1
Tara Burton,49.0,11177.08,0,4.44,12.0,2008-01-07 05:11:46,"713 William Loaf
New Christopher, DC 71560-8742",Reed-Fields,1
Yvette Perry,41.0,8560.76,1,3.99,12.0,2015-05-09 18:48:03,"83457 Davis Flats
Morachester, GU 52752",Moore and Sons,1
Michael Williams,35.0,15571.26,0,6.45,9.0,2011-12-02 20:13:49,"5728 Michael Rue
Riosland, NY 38804-1415",Petty and Sons,0
Connie Golden,39.0,10268.87,1,3.68,6.0,2009-08-19 18:52:21,"3324 Gomez Knolls Suite 591
Farmerchester, LA 37647",Brown-Wagner,0
Seth Griffin,44.0,12328.03,1,4.6,9.0,2006-08-29 02:24:37,"9436 Warner Mill Suite 265
Port Kenneth, OH 00175-5756",Williams PLC,0
Rachel Cherry,52.0,9782.83,0,3.96,7.0,2012-04-17 10:47:29,"3479 Stewart Way
Sandersside, ID 69317-8759","Bishop, Tran and Pope",0
Robert Sanders,29.0,9378.24,0,4.93,8.0,2015-08-06 22:29:28,"8199 Christopher Tunnel Suite 537
Warnerside, IN 29023-3624","White, Jones and Nelson",0
Chris Sutton,37.0,10314.67,1,5.86,8.0,2016-06-22 19:20:04,"858 Booth Points
South Davidside, AZ 92136-1145",Collins Ltd,0
Kenneth Alexander,30.0,8403.78,1,4.13,7.0,2006-06-28 09:26:57,"032 Jorge Trail Apt. 091
Brianmouth, ID 23964",Torres Inc,0
Jason Taylor,46.0,5570.45,0,2.23,7.0,2012-05-01 06:20:54,"693 Kevin Groves Apt. 158
Debramouth, NV 73809","Moore, Nichols and Miller",0
Dennis Morgan,43.0,8042.76,0,4.95,8.0,2006-04-29 20:25:59,"00103 Jeffrey Crest Apt. 205
Padillaville, IA 90755","Barry, Jordan and Hall",0
Penny Perez,44.0,10309.15,1,6.35,9.0,2006-01-10 18:04:20,"725 Stephanie Springs Apt. 350
South Brianbury, MP 98006",Davis-Travis,0
Erin Gilbert,35.0,12357.31,0,5.03,10.0,2014-08-06 19:11:10,"7098 Vicki Lane Suite 339
South Dominic, NM 43022-5425","Ware, Williams and Hill",0
Sean Macias,47.0,11306.1,0,6.01,7.0,2006-07-02 23:47:33,"911 Kent Point
Anthonytown, KS 47499",Jimenez Group,0
Christina Lewis,32.0,13630.93,0,4.38,10.0,2014-01-03 00:55:23,"273 Alexander Burg Suite 754
New Alexandrachester, DE 41261-1457","Thompson, Shelton and Pena",0
Lori Jackson,36.0,12284.58,1,5.7,9.0,2015-12-07 10:18:24,"19131 Robinson Mission Apt. 384
Smithview, AS 99303",Webb PLC,0
Mark Murray,39.0,8930.49,1,5.71,10.0,2014-12-10 09:22:09,"3444 Delgado Squares Apt. 967
Pageville, MI 59677",Lawson Inc,0
Dana Lewis,43.0,10578.14,0,1.87,10.0,2008-05-28 08:06:43,"USNV Soto
FPO AA 90235-3866","Murphy, Park and Boyer",0
Dr. Michael Contreras,45.0,10364.82,0,5.93,5.0,2016-08-22 05:47:48,"53891 Paula Corners Apt. 946
West Michael, ME 42796-1668",Holt-Rogers,0
Rebecca Rasmussen,33.0,7750.54,1,4.57,8.0,2012-07-19 13:34:46,"PSC 2978, Box 1358
APO AP 49912-3876",Rodriguez-Flynn,0
Melanie Turner,48.0,10963.5,1,5.89,9.0,2008-03-07 10:48:28,"3987 Douglas Garden
South Amanda, LA 99160-1676",Gates Ltd,0
Jeffery Ferguson,32.0,12547.91,0,7.78,10.0,2011-12-22 17:51:38,"1599 Rush Crescent Apt. 982
Bowmanchester, TX 33118-6129",Watts Ltd,0
Brenda Haley,41.0,14069.41,1,1.62,10.0,2010-10-14 07:46:45,"USS Barr
FPO AE 09092",Forbes LLC,0
William Taylor,44.0,9723.71,0,4.34,9.0,2012-06-30 10:01:56,"499 Contreras Estates Suite 640
Tylertown, NY 97261",Stewart Inc,0
