Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Lisa Ward,19.0,1386.75,1,4.61,13.0,2013-05-04 00:37:52,"93904 Brown Summit Apt. 870
South Gregory, WV 67777-4911",Williams and Sons,0
Mr. Trevor Hudson,20.0,1472.01,1,5.11,10.0,2010-03-03 15:43:52,"5002 Valencia Corner
West Kennethmouth, RI 88478-1142",Keller LLC,0
Wesley Bean,26.0,1369.88,1,5.45,13.0,2013-11-30 16:06:57,"04460 Avila Extension Apt. 900
Harrisside, IA 73833-5880",Vega-Caldwell,0
Denise Combs,22.0,1674.96,1,4.04,12.0,2006-12-22 15:43:49,"78884 Kristen Vista Apt. 628
West Justin, AS 17020-4474","Carroll, Chapman and Wallace",0
Daniel Macias,53.0,637.37,1,12.3,6.0,2008-09-21 09:03:23,"95183 Johnson Tunnel Apt. 927
North Prestonstad, VA 04149",Bailey-Harper,1
Heather Williams,27.0,1537.89,1,4.55,11.0,2015-08-11 02:55:34,"8395 Harding Port Apt. 863
South Kristenchester, AS 62427-5402",Thomas Inc,0
Mark Calderon,56.0,617.24,0,14.47,10.0,2013-11-05 22:17:22,"50833 Amy Vista Apt. 694
Port Michellebury, VI 61296",Mcclure-Spencer,1
Kurt Henry,13.0,1073.56,0,3.97,10.0,2011-05-22 23:19:15,"076 Hanson Crest
Gallegoschester, SD 15003-4128",Cooper Group,0
Michael Webb,29.0,1288.91,0,4.74,13.0,2013-07-06 17:50:25,"2663 Christopher Meadows
Robertchester, VT 97090",Park LLC,0
Laura Dunlap,57.0,471.53,0,11.73,7.0,2015-09-27 23:50:50,"88621 Jones Crest Suite 833
South Cassandra, ME 36539-9244",Walker PLC,1
Suzanne Burgess,29.0,1468.59,0,4.7,11.0,2015-02-02 11:37:12,"383 Green Plains
West Markhaven, OK 34735-1567",Norman-Campbell,0
Jason Thomas,54.0,868.0,0,11.81,6.0,2012-08-19 04:52:51,"73406 Butler Forge Apt. 426
East Justinland, FL 98863-6988",Ortiz LLC,1
Christine Johnson,58.0,719.93,0,14.36,6.0,2012-01-08 16:44:08,"032 Meadows Dale Suite 991
New Maria, VI 77741",Schroeder-Johnson,1
Ashley Chan,33.0,1560.83,1,3.61,10.0,2016-02-27 04:38:55,"62933 Ryan Garden Apt. 375
South Kristymouth, FL 26100-1824","Cummings, Palmer and Brown",0
Veronica Adams,35.0,1689.39,0,4.07,11.0,2011-10-12 01:56:56,"29779 Kyle Hill
West Charles, WY 76085-6017",Perez Inc,0
Veronica Wiley,59.0,738.5,1,12.05,6.0,2010-03-01 04:05:24,"6100 Vanessa Park
Port Omarfort, TX 76769-4925","Rodriguez, Smith and Anderson",1
Linda Rodriguez,31.0,1514.67,0,3.73,10.0,2010-12-16 08:56:40,"919 Christopher Parkways Suite 228
Lisafort, TX 80485-5290",Phillips and Sons,0
Kelly Hernandez,24.0,1281.47,1,4.43,11.0,2012-04-22 17:56:18,"832 Tara Shores
Deannahaven, CO 65647-3683","Stevenson, Kirk and Green",0
Ryan Bennett,52.0,911.79,1,10.82,6.0,2015-12-09 03:20:55,"59060 Ellison Estates
Evansfurt, AK 12294-5636",Tanner-Powell,1
John Kennedy,24.0,1608.89,1,3.87,11.0,2013-04-19 20:41:23,"07016 John Manors
Woodview, OH 20296","Beard, Zavala and Mendoza",0
Brian Villarreal,23.0,1529.91,1,5.25,10.0,2008-08-29 23:14:47,"0194 Terry Estates
Amychester, NY 93345-4343",Carter Ltd,0
Krista Johnson,61.0,387.87,1,13.11,5.0,2009-05-09 18:27:26,"8149 Robbins Garden Suite 483
Dominguezville, TX 66595",Wright-Davila,1
Linda Ware,53.0,705.56,0,12.64,8.0,2006-02-16 03:02:46,"3190 Kyle Mount
Kellybury, WA 18294",Diaz-Anderson,1
Sharon Phillips,23.0,1386.94,0,3.66,11.0,2011-11-25 12:16:04,"7791 Amanda Flat
Lake Ruthport, PA 77048-5038",Miller Ltd,0
Lauren Brock,28.0,1349.33,0,4.9,11.0,2014-10-03 13:48:01,"2839 Kathryn Meadow Apt. 514
West Matthew, MI 06786",Burns Ltd,0
Jonathan Rios,50.0,1324.16,0,12.67,6.0,2009-08-29 08:48:26,"86124 Amanda Groves Apt. 934
East Codymouth, CA 58295-8939","Cruz, Walsh and Johnson",1
Alan Dalton,27.0,1304.67,1,5.04,11.0,2008-10-14 09:35:26,"74867 Diaz Vista
Lake Derek, FL 39675-5057",Mitchell Inc,0
Tracy Beck,17.0,1404.2,0,4.37,10.0,2016-10-12 06:49:43,"Unit 3295 Box 4884
DPO AE 76742-0714",Alexander Group,0
William James,19.0,1566.54,1,5.28,10.0,2010-02-18 16:42:14,"563 Paula Plaza
Andrewton, MT 88611",Ford-Fisher,0
Emily Reed,19.0,1420.16,1,3.67,12.0,2006-01-29 12:11:26,"112 Michelle Path
Lake Jason, MP 98889",Fuller-Cruz,0
John Galvan,48.0,726.38,0,12.55,7.0,2011-09-24 02:29:45,"4910 Brown Route Suite 882
New Andreafort, LA 90473-5532","Larsen, Fernandez and Dalton",1
Michael Curtis,48.0,708.37,1,12.95,8.0,2006-12-03 18:18:40,"64629 Ramos Corners Suite 059
Mckenzieton, NC 27748-6762",Fuller Ltd,1
Jordan Brown,55.0,414.5,1,12.11,7.0,2016-12-22 01:55:16,"6339 Christopher Point Apt. 645
Santosburgh, VT 02301","Fields, Vega and Lam",1
Brittany Robinson,24.0,1537.62,1,4.01,10.0,2006-03-30 11:31:45,"USNS Cervantes
FPO AE 38391","Stewart, Garcia and Hammond",0
Tammy Stone,56.0,533.49,0,12.33,5.0,2010-08-04 16:11:48,"04778 Ferguson Springs
Campbellbury, MH 81758-8093",Smith Ltd,1
Darrell Cobb,49.0,958.83,0,12.53,7.0,2010-10-23 21:50:44,"8512 Robinson Circle
Bakerton, MP 45178-6542","Rowe, Wheeler and Moore",1
Brian Garcia,49.0,857.41,0,11.66,4.0,2013-10-10 19:54:51,"48361 Watson Fields Suite 501
North Kyleland, MT 33459-0955",Kaufman-Ferguson,1
Anthony Contreras,32.0,1730.53,0,4.45,11.0,2011-03-19 08:39:37,"43042 Henry Alley
Caitlinview, ME 77291-2504","Lopez, Merritt and Rodriguez",0
Jeffery Martinez,55.0,666.4,1,11.36,8.0,2011-02-22 03:33:42,"16450 Richard Cliff Suite 074
Lake Brittany, WA 80068",Le-Hale,1
Eric Grant,54.0,768.62,1,12.83,8.0,2016-09-10 05:06:26,"595 Lisa Mission Apt. 212
Geraldville, MH 28882","Daniel, Huffman and Sullivan",1
Jennifer Ellis,46.0,603.22,0,11.64,8.0,2007-07-05 04:16:16,"9966 Dixon Circles
North Ronald, IA 76971",Henderson-Franklin,1
Dwayne Ferrell,52.0,749.81,0,13.21,6.0,2009-03-27 04:32:51,"69965 Nicole Camp
North Sarah, VT 27032-1310","Benson, Goodman and Jackson",1
Todd Boyle,27.0,1684.45,1,3.15,12.0,2012-10-02 23:41:03,"355 Blake Crescent
South Erica, AR 61792",Mason PLC,0
Lisa Cruz,31.0,1468.46,0,4.58,11.0,2015-06-23 01:24:04,"6147 Robinson Dam Apt. 748
South Elijah, TN 68911",Christian-Anderson,0
Paul Olson,57.0,899.73,0,14.31,7.0,2013-12-11 08:00:04,"159 Padilla Lights
Port Steven, GA 58596","Cline, Ryan and Velasquez",1
Corey Page,34.0,1395.2,0,5.32,11.0,2013-03-05 16:56:10,"94454 Michael Mission
Robertshire, NM 72126",Wolfe-Nelson,0
Robert Gibbs,44.0,570.35,0,11.32,5.0,2006-06-09 13:22:59,"659 Amy Route Apt. 583
Blakeside, DE 11680","Perez, Jackson and Murray",1
Christopher Miller,16.0,1352.44,0,4.07,11.0,2014-02-19 09:14:19,"2093 Paul Shoal
Jasonberg, OH 48451","Peterson, Murphy and Johnson",0
Todd Hill,52.0,464.63,1,14.71,7.0,2011-03-29 18:16:50,"PSC 3985, Box 7354
APO AE 70635-2478",Fowler-Baker,1
Karen Jackson,50.0,1127.66,1,11.39,7.0,2010-11-21 01:09:50,"9132 Brooke Route Suite 574
Richardshire, CO 31643-7165",Ball-Braun,1
Robert Bean,54.0,616.67,0,10.81,6.0,2013-02-22 08:47:52,"3593 Miller Glen Apt. 703
North Tracimouth, RI 54154-4046",Anderson-Tanner,1
Shawn Mcdonald,55.0,614.95,1,13.48,6.0,2007-08-26 14:49:52,"01793 Daugherty Summit Suite 804
Port Amy, AK 14461-3539","Perry, Holland and Patton",1
Joy Mitchell,58.0,587.21,1,11.92,6.0,2006-10-21 09:36:09,"5887 Smith Coves Apt. 667
East Victoria, SC 36861-5592",Gardner-Bennett,1
Lance Miller,29.0,1195.17,0,5.52,9.0,2016-11-30 06:41:44,"7631 Thomas Stream
Judystad, GU 95093",Moore Ltd,0
Dwayne Gordon,56.0,535.68,1,12.31,8.0,2009-12-01 15:09:43,"31845 Jones Estates Suite 692
Lake Robinview, MO 69695-8518","Hampton, Moore and Hayes",1
Sarah Long,50.0,833.37,0,12.86,7.0,2015-04-17 02:12:40,"PSC 8452, Box 1635
APO AP 91594",Williams-Vasquez,1
Courtney Wilkins,58.0,875.51,1,11.5,10.0,2011-03-15 05:37:15,"61817 Cindy Island Suite 216
Harrishaven, NC 64402",Le Ltd,1
Edward Stevens,18.0,1521.76,1,4.87,11.0,2011-02-22 22:59:48,"PSC 8699, Box 1490
APO AP 09185",Leonard Group,0
Meghan Gibbs,61.0,545.82,1,12.52,3.0,2009-09-27 05:37:20,"Unit 9698 Box 1477
DPO AA 06062-3526","Lewis, White and Sims",1
Dr. Christopher Robbins Jr.,24.0,1623.67,0,4.06,11.0,2007-05-24 16:53:30,"87295 Sullivan Keys
South Heather, MO 45795-8020",Murphy-York,0
Gregory Harrison,29.0,1545.86,0,4.43,11.0,2008-02-21 06:33:38,"14951 Crystal Glens
Holmesmouth, IL 65918-4788","Carter, Nguyen and Marshall",0
Laura Moore,32.0,1681.63,0,6.32,11.0,2010-08-20 20:54:23,"1537 Betty Inlet Suite 800
Carolville, MP 24332-1242",Gordon-Perez,0
Steven Castillo,27.0,1142.82,1,5.59,11.0,2008-07-20 15:48:42,"4092 Carlson Canyon
Torreschester, AL 28618","Shaffer, Reid and Phelps",0
Dawn Copeland,29.0,1316.92,1,6.36,9.0,2014-10-26 07:42:28,"357 Garcia Mountain Suite 846
South Maryborough, LA 71655-2802",Maxwell-Rios,0
Christopher Newton,15.0,1439.9,0,5.47,9.0,2016-12-13 11:06:33,"11888 Hughes Avenue Suite 416
Camachoview, IN 93525",Carlson-Massey,0
Heather Norris,29.0,1436.21,0,4.15,9.0,2006-02-10 13:33:53,"6225 David Drive
Virginiashire, MS 67087-9919",Buchanan-Shaw,0
Riley Clark,22.0,1350.81,0,5.15,10.0,2006-04-06 16:37:48,"530 Karen Trail Apt. 947
Nicoleville, MH 18488",Munoz-Todd,0
Omar Chaney,57.0,858.3,1,13.4,5.0,2010-01-02 23:41:27,"389 Williams Shoals Apt. 826
East Melissa, CO 13282","Baker, Gomez and Cole",1
Jesse Patel,55.0,465.09,1,12.78,6.0,2006-02-19 17:55:03,"71056 Hanson Stream Suite 684
South Ashleyton, MO 35672",Pittman PLC,1
James Murphy,50.0,967.6,1,12.87,7.0,2008-02-16 16:08:01,"072 Moore Glens
Brittanyton, NV 77954",Taylor LLC,1
Joseph Adams,52.0,888.42,0,12.64,6.0,2008-03-24 20:48:02,"84719 Stuart Place
North Robinport, TN 48706",Deleon-Ortiz,1
Eric Rogers,60.0,423.96,1,14.0,7.0,2007-03-17 14:08:28,"8050 Linda Pass
Rogerborough, IN 38816-8703",Wilcox-Moore,1
Maria Williams,28.0,1717.88,0,4.0,8.0,2007-09-16 06:01:23,"499 Michelle Key Apt. 448
Paulview, ME 06373-6996",Ramirez-Morgan,0
Melinda Guzman,27.0,1523.68,0,6.48,12.0,2011-04-05 16:50:31,"88913 Sharon Stream
Barryview, MO 92117",Price Inc,0
Elizabeth Smith,49.0,1215.3,1,12.78,6.0,2010-08-17 20:00:49,"Unit 4643 Box 4741
DPO AE 23838",Henderson-Arroyo,1
Mark Perkins,60.0,906.01,1,13.04,9.0,2013-09-09 21:32:05,"0678 Williams Land
East Angela, PA 93254","Richards, Ford and Shah",1
Michael Sullivan,28.0,1439.14,0,2.48,11.0,2013-01-01 10:57:54,"Unit 8896 Box 2927
DPO AE 00565-4024","Cain, Guzman and Smith",0
Lisa Carter,20.0,1377.33,0,4.93,11.0,2009-03-20 20:29:09,"20369 Charles Crescent
Jillhaven, TN 20223","Ryan, Lyons and Dominguez",0
Jennifer Brown,24.0,1399.61,1,5.2,13.0,2015-05-24 01:39:51,"739 Moore Overpass Apt. 053
Megantown, MP 83509-0140","Henson, Rice and Brewer",0
Laura Miller,57.0,637.05,1,14.2,6.0,2006-12-09 09:55:22,"37557 Young Gardens
Lake Richardchester, ID 50846-1134",Walker-Turner,1
Stephen Wise,54.0,616.33,1,13.03,7.0,2006-10-21 14:25:10,"23170 Watts Overpass
New Matthewburgh, GU 82163-8201","Mcclain, Hansen and Johnson",1
Kimberly Gill,52.0,903.55,0,11.88,6.0,2006-11-02 22:40:10,"190 Turner Cove
West Joanna, WV 55274-4360","Moore, Williams and Summers",1
Keith Ruiz,23.0,1609.16,1,4.32,11.0,2011-05-04 05:20:12,"45578 Malone Turnpike
Colemanborough, MN 38316-9635","Goodman, Walls and Carter",0
Christopher Ellis,16.0,1509.45,1,3.77,11.0,2009-11-04 11:42:08,"26915 Carroll Forest
Melissaport, WI 14690",Martin-Simon,0
Kelsey Greer,24.0,1260.89,0,5.84,12.0,2011-06-19 13:31:36,"9091 Wood Cliff Apt. 632
Port Lawrence, WA 80753-9390",Booker-Johnson,0
Jane Thomas,23.0,1667.22,1,3.89,11.0,2013-03-19 23:44:30,"7463 Laura Ways
New Miguelmouth, IN 35724",Bell Inc,0
Amanda Jones,19.0,1466.81,1,4.25,9.0,2016-02-13 09:51:41,"USNS Mcbride
FPO AE 84479-9499",Henry-Green,0
Nicholas Church,53.0,430.05,1,12.99,7.0,2012-05-15 06:19:53,"39800 Patricia Court
Mcdonaldville, PW 88826",Simpson PLC,1
Doris Wells,21.0,1742.61,0,4.63,11.0,2009-07-22 12:51:57,"460 Kim Roads Suite 639
Tylerburgh, NY 20777",Lawson-Griffith,0
Meghan Flores,32.0,1519.9,1,5.86,14.0,2010-04-01 02:28:05,"6741 Bryant Lake Apt. 712
Oconnormouth, MD 70463",Woodward-Parrish,0
Shawn Singh,64.0,894.59,0,14.51,8.0,2007-07-09 13:57:17,"1637 Alyssa Lake
Derekfurt, VA 66889-8266","Villegas, King and Murphy",1
Brittany Cabrera,25.0,1531.2,0,6.05,12.0,2008-09-16 16:37:32,"11153 Samuel Mission
East Penny, CT 68385-8506",Mathis-Lee,0
Peter Smith,59.0,662.85,1,12.37,6.0,2010-04-06 23:47:17,"91494 Jacob Inlet Suite 159
East Jennifer, PA 03876",Moore-Graham,1
Maria Jarvis,55.0,363.78,1,12.55,6.0,2008-06-02 16:01:21,"PSC 2006, Box 1701
APO AA 03003-8300",Cunningham and Sons,1
Sarah Mcdowell,65.0,596.9,1,13.94,7.0,2016-10-14 13:59:01,"49347 Marcus Unions
South John, IL 98746-7934",Rodriguez-Johnson,1
Taylor Smith,21.0,1450.67,0,3.64,12.0,2007-09-13 00:49:41,"691 Debra Cliffs Apt. 364
Lake Stephanie, AK 93911-3875","Mason, Dean and Grant",0
Laura George,56.0,526.94,0,12.08,7.0,2015-02-14 02:53:25,"0881 Martinez Ports
Klinehaven, WA 05191-5816",Campbell LLC,1
Heather Brooks,53.0,644.11,0,14.91,8.0,2007-10-28 11:38:59,"78590 Brown Shores Apt. 669
East Larry, CT 27516-1401",Ramos-Davis,1
Zoe Ramos,50.0,990.73,0,11.88,8.0,2013-05-05 14:24:38,"74077 Hicks Knoll
Rachelchester, CA 89337-4972",Russell Inc,1
George Mack,56.0,619.77,1,13.08,5.0,2010-12-16 12:00:51,"183 Ann Oval Apt. 272
Hoffmanfort, FL 70621",Roberson-Flowers,1
Roger Finley,52.0,739.52,1,12.58,5.0,2015-07-08 02:45:50,"7632 Alan Corner Apt. 423
Port Debrashire, AS 85294-0870",Nelson and Sons,1
Mark Anderson,34.0,1327.09,1,4.26,12.0,2007-05-28 18:44:02,"168 Oliver Roads
New Angela, MI 08604","Brown, Stevenson and Wells",0
